Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 78.10      6.56     6.56        1     6.56     8.07  _GLOBAL__sub_I__Z10preprocessNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEERSt6vectorIdSaIdEES8_S8_
 17.98      8.07     1.51 1296287990     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
  3.45      8.36     0.29        2     0.15     0.15  std::vector<double, std::allocator<double> >::vector(unsigned long, std::allocator<double> const&)
  0.12      8.37     0.01   432000     0.00     0.00  std::valarray<double>::operator[](unsigned long)
  0.12      8.38     0.01   431996     0.00     0.00  bool __gnu_cxx::operator!=<double*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&)
  0.12      8.39     0.01   143996     0.00     0.00  bool __gnu_cxx::__ops::_Iter_less_iter::operator()<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >) const
  0.12      8.40     0.01                             main
  0.00      8.40     0.00   935966     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::operator*() const
  0.00      8.40     0.00   864830     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::base() const
  0.00      8.40     0.00   648058     0.00     0.00  double&& std::forward<double>(std::remove_reference<double>::type&)
  0.00      8.40     0.00   575984     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::operator++()
  0.00      8.40     0.00   432436     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::__normal_iterator(double* const&)
  0.00      8.40     0.00   432096     0.00     0.00  double const& std::forward<double const&>(std::remove_reference<double const&>::type&)
  0.00      8.40     0.00   431990     0.00     0.00  operator new(unsigned long, void*)
  0.00      8.40     0.00   359978     0.00     0.00  std::remove_reference<double&>::type&& std::move<double&>(double&)
  0.00      8.40     0.00   216202     0.00     0.00  std::vector<double, std::allocator<double> >::end()
  0.00      8.40     0.00   215996     0.00     0.00  void __gnu_cxx::new_allocator<double>::construct<double, double const&>(double*, double const&)
  0.00      8.40     0.00   215996     0.00     0.00  void std::allocator_traits<std::allocator<double> >::construct<double, double const&>(std::allocator<double>&, double*, double const&)
  0.00      8.40     0.00   215996     0.00     0.00  std::vector<double, std::allocator<double> >::push_back(double const&)
  0.00      8.40     0.00   215993     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::operator-(long) const
  0.00      8.40     0.00   215986     0.00     0.00  void __gnu_cxx::new_allocator<double>::construct<double, double>(double*, double&&)
  0.00      8.40     0.00   215986     0.00     0.00  void std::allocator_traits<std::allocator<double> >::construct<double, double>(std::allocator<double>&, double*, double&&)
  0.00      8.40     0.00   215986     0.00     0.00  double& std::vector<double, std::allocator<double> >::emplace_back<double>(double&&)
  0.00      8.40     0.00   215986     0.00     0.00  std::vector<double, std::allocator<double> >::back()
  0.00      8.40     0.00   215986     0.00     0.00  std::vector<double, std::allocator<double> >::push_back(double&&)
  0.00      8.40     0.00   143995     0.00     0.00  std::ios_base::precision(long)
  0.00      8.40     0.00   143992     0.00     0.00  std::back_insert_iterator<std::vector<double, std::allocator<double> > >::operator=(double&&)
  0.00      8.40     0.00   143992     0.00     0.00  std::back_insert_iterator<std::vector<double, std::allocator<double> > >::operator*()
  0.00      8.40     0.00   143992     0.00     0.00  std::back_insert_iterator<std::vector<double, std::allocator<double> > >::operator++()
