TIME 	 FLUX
1064.11077882478275569	2070934.75000000000000000
1064.11145989980286686	2070873.12500000000000000
1064.11214107483101543	2071177.62500000000000000
1064.11282214982929872	2071030.50000000000000000
1064.11350322485668585	2070738.62500000000000000
1064.11418439987028250	2071088.50000000000000000
1064.11486547488311771	2070954.00000000000000000
1064.11554654991778079	2070712.50000000000000000
1064.11622762493061600	2070944.25000000000000000
1064.11690869994345121	2070719.25000000000000000
1064.11758977497083833	2070828.50000000000000000
1064.11827084999094950	2071019.25000000000000000
1064.11895202500454616	2070674.75000000000000000
1064.11963310003193328	2070880.25000000000000000
1064.12031427504552994	2070392.87500000000000000
1064.12099535005836515	2070831.12500000000000000
1064.12167632508499082	2071118.25000000000000000
1064.12235740010510199	2070923.87500000000000000
1064.12303857511869865	2071162.25000000000000000
1064.12371965014608577	2070804.75000000000000000
1064.12440082515968243	2070830.50000000000000000
1064.12508190017251763	2071331.62500000000000000
1064.12576297520718072	2071281.50000000000000000
1064.12644415022077737	2070946.25000000000000000
1064.12712512524740305	2070457.25000000000000000
1064.12780620026023826	2071103.00000000000000000
1064.12848737528838683	2071253.50000000000000000
1064.12916845030122204	2070870.75000000000000000
1064.12984952532133320	2071018.62500000000000000
1064.13053070034948178	2071141.37500000000000000
1064.13121177537686890	2070900.12500000000000000
1064.13189285038970411	2070582.25000000000000000
1064.13257402540330077	2071047.00000000000000000
1064.13325500043720240	2070472.75000000000000000
1064.13393607546458952	2070612.50000000000000000
1064.13461725049273809	2070736.87500000000000000
1064.13529832550557330	2070665.50000000000000000
1064.13597940051840851	2070811.50000000000000000
1064.13666047555307159	2070851.75000000000000000
1064.13734165058122016	2071080.37500000000000000
1064.13802272560860729	2070991.37500000000000000
1064.13870370062068105	2071049.12500000000000000
1064.13938487563427771	2071104.75000000000000000
1064.14006595066894079	2071034.12500000000000000
1064.14074702569632791	2070847.75000000000000000
1064.14142810072371503	2070882.87500000000000000
1064.14210927573731169	2070689.37500000000000000
1064.14279035076469881	2071136.87500000000000000
1064.14347142577753402	2070409.50000000000000000
1064.14415250081219710	2070607.87500000000000000
1064.14483357583958423	2070776.87500000000000000
1064.14551465086697135	2071109.50000000000000000
1064.14619582588056801	2070909.25000000000000000
1064.14687690090795513	2070936.50000000000000000
1064.14755797592806630	2071056.50000000000000000
1064.14823915095621487	2070794.50000000000000000
1064.14892022598360199	2070581.37500000000000000
1064.14960120101022767	2070931.62500000000000000
1064.15028237603837624	2071136.12500000000000000
1064.15096345107303932	2070485.75000000000000000
1064.15164452608587453	2070902.75000000000000000
1064.15232570109947119	2071249.75000000000000000
1064.15300677612685831	2070887.12500000000000000
1064.15368795115500689	2070774.00000000000000000
1064.15436902618239401	2070932.50000000000000000
1064.15505010121705709	2070796.00000000000000000
1064.15573107624368276	2070874.62500000000000000
1064.15641225127183134	2070864.75000000000000000
1064.15709332629921846	2070853.12500000000000000
1064.15777450131281512	2070742.12500000000000000
1064.15845557634747820	2070595.62500000000000000
1064.15913665137486532	2071038.75000000000000000
1064.15981782640301390	2070812.37500000000000000
1064.16049890143040102	2071237.12500000000000000
1064.16117987645702669	2070388.37500000000000000
1064.16186095149168978	2071062.00000000000000000
1064.16254212651983835	2070817.00000000000000000
1064.16322320154722547	2070748.00000000000000000
1064.16390427657461260	2070733.25000000000000000
1064.16458545158820925	2071180.00000000000000000
1064.16526652661559638	2070793.25000000000000000
1064.16594760165025946	2070762.87500000000000000
1064.16662867667764658	2070817.12500000000000000
1064.16730975170503370	2070862.87500000000000000
1064.16799082673242083	2070953.87500000000000000
1064.16867190175980795	2071069.75000000000000000
1064.16935307679523248	2070499.50000000000000000
1064.17003415182261961	2070925.37500000000000000
1064.17071522685000673	2071293.62500000000000000
1064.17139640187815530	2071307.25000000000000000
1064.17207737691933289	2070677.62500000000000000
1064.17275845195399597	2071124.12500000000000000
1064.17343962698214455	2070890.25000000000000000
1064.17412070200953167	2070694.12500000000000000
1064.17480177703691879	2070734.87500000000000000
1064.17548295206506737	2070638.87500000000000000
1064.17616402709973045	2070860.37500000000000000
1064.17684510212711757	2071229.87500000000000000
1064.17752627715526614	2070536.87500000000000000
1064.17820725219644373	2070645.62500000000000000
1064.17888832722383086	2071075.87500000000000000
1064.17956950225197943	2070697.12500000000000000
1064.18025057728664251	2070678.62500000000000000
1064.18093165231402963	2070428.50000000000000000
1064.18161282734217821	2070941.87500000000000000
1064.18229390236956533	2071037.75000000000000000
1064.18297507739771390	2070955.50000000000000000
1064.18365605244616745	2070883.87500000000000000
1064.18433712747355457	2071220.37500000000000000
1064.18501820251549361	2070866.62500000000000000
1064.18569937754364219	2070728.50000000000000000
1064.18638045257102931	2070902.50000000000000000
1064.18706162759917788	2071042.50000000000000000
1064.18774270263384096	2070981.25000000000000000
1064.18842377767578000	2071082.50000000000000000
1064.18910475271695759	2070830.75000000000000000
1064.18978592774510616	2071101.75000000000000000
1064.19046700277249329	2070995.87500000000000000
1064.19114807780715637	2070521.37500000000000000
1064.19182925283530494	2071112.37500000000000000
1064.19251032786269207	2070899.00000000000000000
1064.19319140290463110	2070797.25000000000000000
1064.19387247794657014	2070455.12500000000000000
1064.19455355298123322	2070978.87500000000000000
1064.19523462800862035	2070402.62500000000000000
1064.19591570303600747	2071095.75000000000000000
1064.19659687807870796	2071247.25000000000000000
1064.19727795310609508	2071011.62500000000000000
1064.19795902815531008	2070848.87500000000000000
1064.19864020318345865	2070874.62500000000000000
1064.19932127821084578	2071230.00000000000000000
1064.20000235325278481	2071068.75000000000000000
1064.20068342829472385	2070792.25000000000000000
1064.20136450332938693	2071108.00000000000000000
1064.20204557835677406	2070927.75000000000000000
1064.20272675338492263	2070867.25000000000000000
1064.20340782842686167	2070807.75000000000000000
1064.20408890346880071	2070660.00000000000000000
1064.20477007849694928	2070486.50000000000000000
1064.20545115353161236	2070642.12500000000000000
1064.20613212857278995	2071053.87500000000000000
1064.20681320361472899	2070920.37500000000000000
1064.20749437864287756	2070875.00000000000000000
1064.20817545367026469	2070705.87500000000000000
1064.20885662872024113	2070963.25000000000000000
1064.20953770376218017	2071053.00000000000000000
1064.21021877878956730	2070555.37500000000000000
1064.21089995381771587	2070676.00000000000000000
1064.21158092887344537	2070901.37500000000000000
1064.21226200390810845	2071028.25000000000000000
1064.21294317895080894	2071122.25000000000000000
1064.21362425399274798	2070862.25000000000000000
1064.21430532902013510	2071132.12500000000000000
1064.21498650406283559	2071308.37500000000000000
1064.21566757910477463	2070997.75000000000000000
1064.21634865413943771	2070556.37500000000000000
1064.21702982916758629	2070402.87500000000000000
1064.21771080422331579	2070486.50000000000000000
1064.21839187925070291	2071058.87500000000000000
1064.21907305429340340	2070628.25000000000000000
1064.21975412934261840	2070682.00000000000000000
1064.22043520437000552	2071053.37500000000000000
1064.22111627941194456	2070383.00000000000000000
1064.22179745445464505	2070799.87500000000000000
1064.22247852948203217	2070792.87500000000000000
1064.22315950454503763	2070331.75000000000000000
1064.22384067957318621	2070808.62500000000000000
1064.22452175460057333	2070959.50000000000000000
1064.22520282965706429	2070861.87500000000000000
1064.22588400468521286	2070803.75000000000000000
1064.22656507972715190	2070504.12500000000000000
1064.22724615477636689	2070698.37500000000000000
1064.22792722980375402	2071078.75000000000000000
1064.22860830486024497	2070922.87500000000000000
1064.22928937988763209	2070748.75000000000000000
1064.22997045495139901	2070641.87500000000000000
1064.23065162997954758	2070705.62500000000000000
1064.23133270502148662	2070870.87500000000000000
1064.23201378006342566	2070967.62500000000000000
1064.23269495509157423	2070947.00000000000000000
1064.23337603014806518	2070837.87500000000000000
1064.23405700518196682	2070742.37500000000000000
1064.23473818022466730	2070850.37500000000000000
1064.23541925526660634	2071183.25000000000000000
1064.23610033030854538	2070846.00000000000000000
1064.23678150535124587	2071058.87500000000000000
1064.23746258039318491	2070870.62500000000000000
1064.23814375544316135	2070954.12500000000000000
1064.23882483048510039	2070952.25000000000000000
1064.23950590552703943	2071034.12500000000000000
1064.24018688058276894	2070430.75000000000000000
1064.24086805561091751	2070912.25000000000000000
1064.24154913066013250	2070694.25000000000000000
1064.24223030570283299	2070942.37500000000000000
1064.24291138074477203	2070407.75000000000000000
1064.24359245578671107	2070998.62500000000000000
1064.24427363082941156	2070756.00000000000000000
1064.24495470587135060	2070918.87500000000000000
1064.24563568093435606	2070812.62500000000000000
1064.24631685596250463	2071037.37500000000000000
1064.24699793101899559	2070991.00000000000000000
1064.24767900604638271	2070948.25000000000000000
1064.24836008111014962	2070941.87500000000000000
1064.24904125613829819	2070777.62500000000000000
1064.24972233119478915	2071160.50000000000000000
1064.25040340623672819	2070944.75000000000000000
1064.25108448127866723	2070573.62500000000000000
1064.25176555632060627	2070612.00000000000000000
1064.25244663136982126	2070593.00000000000000000
1064.25312780641252175	2070815.87500000000000000
1064.25380888145446079	2071107.50000000000000000
1064.25448995651095174	2070549.75000000000000000
1064.25517103155289078	2070958.00000000000000000
1064.25585220660286723	2070834.87500000000000000
1064.25653318165859673	2070699.62500000000000000
1064.25721425668598386	2070613.37500000000000000
1064.25789543174323626	2071009.87500000000000000
1064.25857650678517530	2070882.25000000000000000
1064.25925758183439029	2070719.75000000000000000
1064.25993875687709078	2071121.75000000000000000
1064.26061983191902982	2070632.75000000000000000
1064.26130090697552077	2071104.75000000000000000
1064.26198208201822126	2071049.37500000000000000
1064.26266305706667481	2070771.62500000000000000
1064.26334413212316576	2070724.87500000000000000
1064.26402530718041817	2070624.12500000000000000
1064.26470638222235721	2071013.00000000000000000
1064.26538745726429624	2070825.00000000000000000
1064.26606863230699673	2070698.12500000000000000
1064.26674970735621173	2071010.75000000000000000
1064.26743088241346413	2070865.12500000000000000
1064.26811185746919364	2070920.50000000000000000
1064.26879293251113268	2070812.00000000000000000
1064.26947400755307171	2071114.50000000000000000
1064.27015518261760008	2070762.87500000000000000
1064.27083625765953911	2070816.12500000000000000
1064.27151743270223960	2070906.75000000000000000
1064.27219850775873056	2071338.37500000000000000
1064.27287958280066960	2071116.37500000000000000
1064.27356055784912314	2071016.00000000000000000
1064.27424173290637555	2071111.62500000000000000
1064.27492280796286650	2070976.37500000000000000
1064.27560388300480554	2071105.12500000000000000
1064.27628505804750603	2071040.12500000000000000
1064.27696613310399698	2071233.12500000000000000
1064.27764720816776389	2070693.12500000000000000
1064.27832838319591247	2070607.50000000000000000
1064.27900935825164197	2070930.37500000000000000
1064.27969043330813292	2070874.62500000000000000
1064.28037150836462388	2071130.75000000000000000
1064.28105268341460032	2070829.50000000000000000
1064.28173375845653936	2070721.62500000000000000
1064.28241483351303032	2070882.75000000000000000
1064.28309600857028272	2071292.50000000000000000
1064.28377708361222176	2070873.75000000000000000
1064.28445815865416080	2071001.37500000000000000
1064.28513923371792771	2070855.12500000000000000
1064.28582030877441866	2070998.12500000000000000
1064.28650138383090962	2071175.87500000000000000
1064.28718255887361011	2070576.00000000000000000
1064.28786363391554914	2070797.12500000000000000
1064.28854470897931606	2070847.62500000000000000
1064.28922588403656846	2071170.37500000000000000
1064.28990695909305941	2070403.50000000000000000
1064.29058793414878892	2071377.12500000000000000
1064.29126900920527987	2070947.37500000000000000
1064.29195018425525632	2071026.00000000000000000
1064.29263125931174727	2070743.50000000000000000
1064.29331243435444776	2070534.12500000000000000
1064.29399350941093871	2070959.75000000000000000
1064.29467458446742967	2070750.25000000000000000
1064.29535575952468207	2070913.25000000000000000
1064.29603673458768753	2070931.25000000000000000
1064.29671780962962657	2070760.25000000000000000
1064.29739898467232706	2070655.12500000000000000
1064.29808005972881801	2070878.00000000000000000
1064.29876113478530897	2070977.12500000000000000
1064.29944230984983733	2071150.37500000000000000
1064.30012338490632828	2070900.00000000000000000
1064.30080445996281924	2070614.37500000000000000
1064.30148543501854874	2070992.75000000000000000
1064.30216661007580115	2070805.62500000000000000
1064.30284768512501614	2071029.50000000000000000
1064.30352886018226855	2070810.75000000000000000
1064.30420993523875950	2070870.25000000000000000
1064.30489101028069854	2071235.50000000000000000
1064.30557218533795094	2070784.62500000000000000
1064.30625326039444190	2070620.50000000000000000
1064.30693433545820881	2071269.75000000000000000
1064.30761531051393831	2071140.25000000000000000
1064.30829648557119071	2070879.87500000000000000
1064.30897756062768167	2071068.75000000000000000
1064.30965863569144858	2070878.00000000000000000
1064.31033981074870098	2070885.12500000000000000
1064.31102088580519194	2070697.50000000000000000
1064.31170196086168289	2071049.62500000000000000
1064.31238313591893530	2071014.37500000000000000
1064.31306411097466480	2070645.75000000000000000
1064.31374518603843171	2070968.50000000000000000
1064.31442636109568411	2070679.50000000000000000
1064.31510743615217507	2071000.00000000000000000
1064.31578851120866602	2070643.25000000000000000
1064.31646958626515698	2070848.12500000000000000
1064.31715076132968534	2071058.75000000000000000
1064.31783183638617629	2070971.25000000000000000
1064.31851281144190580	2070839.75000000000000000
1064.31919398649915820	2070474.12500000000000000
1064.31987506155564915	2070843.00000000000000000
1064.32055613661941607	2071005.12500000000000000
1064.32123731167666847	2070824.87500000000000000
1064.32191838673315942	2070285.25000000000000000
1064.32259956179041183	2070330.87500000000000000
1064.32328063684690278	2070357.50000000000000000
1064.32396161192446016	2070610.25000000000000000
1064.32464268698095111	2070999.50000000000000000
1064.32532386203820352	2071120.50000000000000000
1064.32600493710924638	2070680.62500000000000000
1064.32668611216649879	2070789.75000000000000000
1064.32736718722298974	2070819.50000000000000000
1064.32804826228675665	2070800.00000000000000000
1064.32872943734400906	2070844.00000000000000000
1064.32941051240050001	2070931.75000000000000000
1064.33009148745622952	2071101.25000000000000000
1064.33077266251348192	2071153.50000000000000000
